,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,2433619.0,14523.0,2,4867238.0,29046.0,338,136 YEE KUK ST|136 醫局街,2078564.0,15172.0,137.0,2788674.0,13874.0,201.0,-0.014785390793481068,-0.014788684621124704
2019-11-15,2470141.0,14741.0,2,4940282.0,29482.0,338,136 YEE KUK ST|136 醫局街,2109800.0,15400.0,137.0,2830482.0,14082.0,201.0,0.08317426489772917,0.08318024836505256
2019-10-15,2280465.0,13609.0,2,4560930.0,27218.0,338,136 YEE KUK ST|136 醫局街,1947729.0,14217.0,137.0,2613201.0,13001.0,201.0,-0.0889355203744191,-0.08893723849372381
2019-9-15,2503077.5,14937.5,2,5006155.0,29875.0,338,136 YEE KUK ST|136 醫局街,2137885.0,15605.0,137.0,2868270.0,14270.0,201.0,-0.003567420728738724,-0.003568807951437547
2019-8-15,2512039.0,14991.0,2,5024078.0,29982.0,338,136 YEE KUK ST|136 醫局街,2145557.0,15661.0,137.0,2878521.0,14321.0,201.0,0.009897403735597443,0.009902991107518133
2019-7-15,2487420.0,14844.0,2,4974840.0,29688.0,338,136 YEE KUK ST|136 醫局街,2124459.0,15507.0,137.0,2850381.0,14181.0,201.0,-0.036506070787996836,-0.036510563723103906
2019-6-15,2581666.5,15406.5,2,5163333.0,30813.0,338,136 YEE KUK ST|136 醫局街,2205015.0,16095.0,137.0,2958318.0,14718.0,201.0,0.011219246513006986,0.011223786551147086
2019-5-15,2553023.5,15235.5,2,5106047.0,30471.0,338,136 YEE KUK ST|136 醫局街,2180492.0,15916.0,137.0,2925555.0,14555.0,201.0,0.021319906813917155,0.021317244846656536
2019-4-15,2499729.5,14917.5,2,4999459.0,29835.0,338,136 YEE KUK ST|136 醫局街,2135008.0,15584.0,137.0,2864451.0,14251.0,201.0,-0.012570157075611488,-0.012576534833691921
2019-3-15,2531551.5,15107.5,2,5063103.0,30215.0,338,136 YEE KUK ST|136 醫局街,2162271.0,15783.0,137.0,2900832.0,14432.0,201.0,0.020252291188548543,0.020260003376667335
2019-2-15,2481299.5,14807.5,2,4962599.0,29615.0,338,136 YEE KUK ST|136 醫局街,2119253.0,15469.0,137.0,2843346.0,14146.0,201.0,0.03730698114051534,0.03730297723292475
2019-1-15,2392059.0,14275.0,2,4784118.0,28550.0,338,136 YEE KUK ST|136 醫局街,2043081.0,14913.0,137.0,2741037.0,13637.0,201.0,0.01518388189187081,0.015183301923692438
2018-12-15,2356281.5,14061.5,2,4712563.0,28123.0,338,136 YEE KUK ST|136 醫局街,2012530.0,14690.0,137.0,2700033.0,13433.0,201.0,-0.00884758645783168,-0.008846126735744031
2018-11-15,2377315.0,14187.0,2,4754630.0,28374.0,338,136 YEE KUK ST|136 醫局街,2030477.0000000002,14821.0,137.0,2724153.0,13553.0,201.0,-0.01667277804008771,-0.016669554669901276
2018-10-15,2417623.5,14427.5,2,4835247.0,28855.0,338,136 YEE KUK ST|136 醫局街,2064864.0,15072.0,137.0,2770383.0,13783.0,201.0,-0.037999754488591164,-0.038006334389064866
2018-9-15,2513121.5,14997.5,2,5026243.0,29995.0,338,136 YEE KUK ST|136 醫局街,2146516.0,15668.0,137.0,2879727.0,14327.0,201.0,-0.05681911580973209,-0.056820325765675084
2018-8-15,2664517.0,15901.0,2,5329034.0,31802.0,338,136 YEE KUK ST|136 醫局街,2275844.0,16612.0,137.0,3053190.0,15190.0,201.0,0.003055450411186156,0.003059454344740642
2018-7-15,2656400.5,15852.5,2,5312801.0,31705.0,338,136 YEE KUK ST|136 醫局街,2268857.0,16561.0,137.0,3043944.0,15144.0,201.0,0.06617988069495939,0.0661801795742678
2018-6-15,2491512.5,14868.5,2,4983025.0,29737.0,338,136 YEE KUK ST|136 醫局街,2128021.0,15533.0,137.0,2855004.0,14204.0,201.0,0.026370356150580587,0.026369378386774
2018-5-15,2427498.5,14486.5,2,4854997.0,28973.0,338,136 YEE KUK ST|136 醫局街,2073357.9999999998,15134.0,137.0,2781639.0,13839.0,201.0,0.009336209787386363,0.009336352551820193
2018-4-15,2405044.5,14352.5,2,4810089.0,28705.0,338,136 YEE KUK ST|136 醫局街,2054178.0000000002,14994.0,137.0,2755911.0,13711.0,201.0,0.017904847761497145,0.01790780141843973
2018-3-15,2362740.0,14100.0,2,4725480.0,28200.0,338,136 YEE KUK ST|136 醫局街,2018010.0,14730.0,137.0,2707470.0,13470.0,201.0,0.012828500863871106,0.012821894192436067
2018-2-15,2332813.5,13921.5,2,4665627.0,27843.0,338,136 YEE KUK ST|136 醫局街,1992528.0,14544.0,137.0,2673099.0,13299.0,201.0,,
2018-1-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-12-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-11-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-10-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-9-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-8-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-7-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-6-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-5-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-4-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-3-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-2-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2017-1-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2016-12-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2016-11-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2016-10-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2016-9-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
2016-8-15,,,2,,,338,136 YEE KUK ST|136 醫局街,,,137.0,,,201.0,,
