,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7136612.0,12846.75,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7675194.999999999,13165.0,583.0,7306738.999999999,12533.0,583.0,6661264.0,12664.0,526.0,6903249.999999999,13025.0,530.0,,-0.01627744772354478,-0.01627199111740718
2020-11-15,7254700.0,13059.25,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7802872.000000001,13384.0,583.0,7428585.999999999,12742.0,583.0,6770672.0,12872.0,526.0,7016670.0,13239.0,530.0,,0.019888149281247935,0.019895349291264797
2020-10-15,7113231.0,12804.5,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7652457.999999999,13126.0,583.0,7284002.0,12494.0,583.0,6637594.0,12619.0,526.0,6878870.0,12979.0,530.0,,-0.009618281020214559,-0.0096678139139178
2020-9-15,7182312.5,12929.5,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7721835.0,13245.0,583.0,7346382.999999999,12601.0,583.0,6723332.0,12782.0,526.0,6937699.999999999,13090.0,530.0,,0.016816884371912755,0.01676988105770172
2020-8-15,7063526.0,12716.25,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7588328.000000001,13016.0,583.0,7216374.0,12378.0,583.0,6604982.0,12557.0,526.0,6844420.0,12914.0,530.0,,-0.005521002967833422,-0.0055135198545369635
2020-7-15,7102740.25,12786.75,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7633218.999999999,13093.0,583.0,7256017.999999999,12446.0,583.0,6642854.0,12629.0,526.0,6878870.0,12979.0,530.0,,-0.007270475751540939,-0.007490345991888692
2020-6-15,7154758.75,12883.25,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7660620.0,13140.0,583.0,7278754.999999999,12485.0,583.0,6782770.0,12895.0,526.0,6896890.0,13013.0,530.0,,-0.004785709437147401,-0.004770181537273044
2020-5-15,7189164.0,12945.0,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7701430.0,13210.0,583.0,7314317.999999999,12546.0,583.0,6813278.0,12953.0,526.0,6927630.0,13071.0,530.0,,0.009683697709085726,0.010026138181250754
2020-4-15,7120214.0,12816.5,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7579583.0,13001.0,583.0,7389525.0,12675.0,583.0,6700188.0,12738.0,526.0,6811560.0,12852.0,530.0,,-0.01630351926871554,-0.016290895135757433
2020-3-15,7238222.5,13028.75,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7709009.0,13223.0,583.0,7511954.999999999,12885.0,583.0,6809596.0,12946.0,526.0,6922330.0,13061.0,530.0,,0.02317375618786044,0.023186869281815792
2020-2-15,7074284.75,12733.5,"PARK YOHO VENEZIA(Block 3B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7538190.0,12930.0,583.0,7341719.000000001,12593.0,583.0,6653900.0,12650.0,526.0,6763330.0,12761.0,530.0,,0.02667495007424381,0.026688167708123434
