,final_address,floor,unit,instr_date,remark1,remark2,remark_all,bayWidow,has_BW,balcony,has_BAL,has_FR,roof,has_roof,has_UP:,acPlatform:,has_acPlatfrom,garden,has_GDN,plantRoom:,has_RM,yard,has_YD,has_CPS,is_duplex,below_market_trans,flatRoof,utilityPlatform,final_address_floor_unit
0,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",33,B,1995-11-01,CPS 2 ON 3RD LEVEL ,blank,"CPS 2 ON 3RD LEVEL ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道_33_B"
3,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",16,B,1995-11-01,CPS 61 ON 4THCAR PORT ,blank,"CPS 61 ON 4THCAR PORT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道_16_B"
4,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",8,A,1995-12-01,CPS 30 ON 4TH LEVEL ,blank,"CPS 30 ON 4TH LEVEL ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道_8_A"
5,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",13,B,1995-11-01,CPS 86 ON LEVEL CP4 ,blank,"CPS 86 ON LEVEL CP4 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道_13_B"
6,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",16,B,1995-12-18,CPS 61 ON 4THCAR PORT ,blank,"CPS 61 ON 4THCAR PORT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道_16_B"
8,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",25,A,1995-12-13,CPS 91 ON LEVEL CP3 ,blank,"CPS 91 ON LEVEL CP3 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道_25_A"
9,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",17,B,1996-01-03,CPS 9 ON LEVEL CP4 ,blank,"CPS 9 ON LEVEL CP4 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道_17_B"
10,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",27,A,1995-12-15,CPS 6 ON LEVEL CP2 ,blank,"CPS 6 ON LEVEL CP2 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道_27_A"
11,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",27,A,1995-12-29,CPS 6 ON LEVEL CP2 ,blank,"CPS 6 ON LEVEL CP2 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道_27_A"
12,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",1,B,1995-12-05,CPS 5 ON LEVEL CP5 ,blank,"CPS 5 ON LEVEL CP5 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道_1_B"
13,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",7,A,1996-01-11,CPS 40 ON LEVEL CP3 ,blank,"CPS 40 ON LEVEL CP3 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道_7_A"
15,"PACIFIC VIEW(Block 4),TAI TAM RD|浪琴園4座,大潭道",2,B,1996-01-19,CPS 10 & 11 ON5TH CAR PORT ,blank,"CPS 10 & 11 ON5TH CAR PORT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 4),TAI TAM RD|浪琴園4座,大潭道_2_B"
16,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道",27,A,1996-01-18,blank,blank,"blank,blank",,False,,False,False,,False,False,,False,,False,,False,,False,False,False,False,,,"PACIFIC VIEW(Block 5),TAI TAM RD|浪琴園5座,大潭道_27_A"
17,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",15,B,1996-01-29,CPS 64 ON 3RDCAR PORT ,blank,"CPS 64 ON 3RDCAR PORT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道_15_B"
18,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道",7,B,1996-01-22,CPS 61 ON 2NDCAR PORT ,blank,"CPS 61 ON 2NDCAR PORT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 1),TAI TAM RD|浪琴園1座,大潭道_7_B"
19,"PACIFIC VIEW(Block 4),TAI TAM RD|浪琴園4座,大潭道",12,B,1996-02-02,CPS 18 & 19 ON4TH CAR PORT ,blank,"CPS 18 & 19 ON4TH CAR PORT ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 4),TAI TAM RD|浪琴園4座,大潭道_12_B"
21,"PACIFIC VIEW(Block 4),TAI TAM RD|浪琴園4座,大潭道",5,B,1996-01-26,CPS 33 ON LEVEL CP5 ,blank,"CPS 33 ON LEVEL CP5 ,blank",,False,,False,False,,False,False,,False,,False,,False,,False,True,False,False,,,"PACIFIC VIEW(Block 4),TAI TAM RD|浪琴園4座,大潭道_5_B"
