,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11428886.0,16982.0,227 YEE KUK ST|227 醫局街,11428886.0,16982.0,673.0,,-0.022224781206817146,-0.022224781206817146
2020-11-15,11688664.0,17368.0,227 YEE KUK ST|227 醫局街,11688664.0,17368.0,673.0,,0.008301886792452917,0.008301886792452917
2020-10-15,11592425.0,17225.0,227 YEE KUK ST|227 醫局街,11592425.0,17225.0,673.0,,-0.011364288584055582,-0.011364288584055582
2020-9-15,11725679.0,17423.0,227 YEE KUK ST|227 醫局街,11725679.0,17423.0,673.0,,-0.0061038220193953,-0.0061038220193953
2020-8-15,11797690.0,17530.0,227 YEE KUK ST|227 醫局街,11797690.0,17530.0,673.0,,-0.008652377990160054,-0.008652377990160054
2020-7-15,11900659.0,17683.0,227 YEE KUK ST|227 醫局街,11900659.0,17683.0,673.0,,-0.0159710628825821,-0.0159710628825821
2020-6-15,12093810.0,17970.0,227 YEE KUK ST|227 醫局街,12093810.0,17970.0,673.0,,0.03068540292515065,0.03068540292515065
2020-5-15,11733755.0,17435.0,227 YEE KUK ST|227 醫局街,11733755.0,17435.0,673.0,,-0.02581438229870925,-0.02581438229870925
2020-4-15,12044681.0,17897.0,227 YEE KUK ST|227 醫局街,12044681.0,17897.0,673.0,,0.05605711925414525,0.05605711925414525
2020-3-15,11405331.0,16947.0,227 YEE KUK ST|227 醫局街,11405331.0,16947.0,673.0,,-0.021479300190542228,-0.021479300190542228
2020-2-15,11655687.0,17319.0,227 YEE KUK ST|227 醫局街,11655687.0,17319.0,673.0,,-0.07091894211683925,-0.07091894211683925
2020-1-15,12545393.0,18641.0,227 YEE KUK ST|227 醫局街,12545393.0,18641.0,673.0,,0.07329571625978804,0.07329571625978804
2019-12-15,11688664.0,17368.0,227 YEE KUK ST|227 醫局街,11688664.0,17368.0,673.0,,-0.000575440211762035,-0.000575440211762035
