,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,8857200.0,13420.0,1,8857200,13420,660,231 YEE KUK ST|231 醫局街,8857200.0,13420.0,660.0,-0.014756625798399536,-0.014756625798399536
2019-11-15,8989860.0,13621.0,1,8989860,13621,660,231 YEE KUK ST|231 醫局街,8989860.0,13621.0,660.0,0.08318091451292253,0.08318091451292253
2019-10-15,8299500.0,12575.0,1,8299500,12575,660,231 YEE KUK ST|231 醫局街,8299500.0,12575.0,660.0,-0.08896616677533864,-0.08896616677533864
2019-9-15,9109980.0,13803.0,1,9109980,13803,660,231 YEE KUK ST|231 醫局街,9109980.0,13803.0,660.0,-0.0036093264996751584,-0.0036093264996751584
2019-8-15,9142980.0,13853.0,1,9142980,13853,660,231 YEE KUK ST|231 醫局街,9142980.0,13853.0,660.0,0.0099147043814245,0.0099147043814245
2019-7-15,9053220.0,13717.0,1,9053220,13717,660,231 YEE KUK ST|231 醫局街,9053220.0,13717.0,660.0,-0.03645686990727737,-0.03645686990727737
2019-6-15,9395760.0,14236.0,1,9395760,14236,660,231 YEE KUK ST|231 醫局街,9395760.0,14236.0,660.0,0.01115136018183116,0.01115136018183116
2019-5-15,9292140.0,14079.0,1,9292140,14079,660,231 YEE KUK ST|231 醫局街,9292140.0,14079.0,660.0,0.021401625072547947,0.021401625072547947
2019-4-15,9097440.0,13784.0,1,9097440,13784,660,231 YEE KUK ST|231 醫局街,9097440.0,13784.0,660.0,-0.012607449856733566,-0.012607449856733566
2019-3-15,9213600.0,13960.0,1,9213600,13960,660,231 YEE KUK ST|231 醫局街,9213600.0,13960.0,660.0,0.020318666861570023,0.020318666861570023
2019-2-15,9030120.0,13682.0,1,9030120,13682,660,231 YEE KUK ST|231 醫局街,9030120.0,13682.0,660.0,0.03730098559514783,0.03730098559514783
2019-1-15,8705400.0,13190.0,1,8705400,13190,660,231 YEE KUK ST|231 醫局街,8705400.0,13190.0,660.0,0.015240147783251334,0.015240147783251334
2018-12-15,8574720.0,12992.0,1,8574720,12992,660,231 YEE KUK ST|231 醫局街,8574720.0,12992.0,660.0,-0.008849557522123908,-0.008849557522123908
2018-11-15,8651280.0,13108.0,1,8651280,13108,660,231 YEE KUK ST|231 醫局街,8651280.0,13108.0,660.0,-0.016654163540885225,-0.016654163540885225
2018-10-15,8797800.0,13330.0,1,8797800,13330,660,231 YEE KUK ST|231 醫局街,8797800.0,13330.0,660.0,-0.03796189376443415,-0.03796189376443415
2018-9-15,9144960.0,13856.0,1,9144960,13856,660,231 YEE KUK ST|231 醫局街,9144960.0,13856.0,660.0,-0.05677331518039486,-0.05677331518039486
2018-8-15,9695400.0,14690.0,1,9695400,14690,660,231 YEE KUK ST|231 醫局街,9695400.0,14690.0,660.0,0.003072721065209949,0.003072721065209949
2018-7-15,9665700.0,14645.0,1,9665700,14645,660,231 YEE KUK ST|231 醫局街,9665700.0,14645.0,660.0,0.06625409537677474,0.06625409537677474
2018-6-15,9065100.0,13735.0,1,9065100,13735,660,231 YEE KUK ST|231 醫局街,9065100.0,13735.0,660.0,,
