,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,13817232.0,18876.0,1,13817232.0,18876.0,732,225 YEE KUK ST|225 醫局街,13817232.0,18876.0,732.0,-0.014771125841640975,-0.014771125841640975
2019-11-15,14024388.0,19159.0,1,14024388.0,19159.0,732,225 YEE KUK ST|225 醫局街,14024388.0,19159.0,732.0,0.08316372682044326,0.08316372682044326
2019-10-15,12947616.0,17688.0,1,12947616.0,17688.0,732,225 YEE KUK ST|225 醫局街,12947616.0,17688.0,732.0,-0.08895184135977341,-0.08895184135977341
2019-9-15,14211780.0,19415.0,1,14211780.0,19415.0,732,225 YEE KUK ST|225 醫局街,14211780.0,19415.0,732.0,-0.0035925070567103257,-0.0035925070567103257
2019-8-15,14263020.0,19485.0,1,14263020.0,19485.0,732,225 YEE KUK ST|225 醫局街,14263020.0,19485.0,732.0,0.009899450606406068,0.009899450606406068
2019-7-15,14123208.0,19294.0,1,14123208.0,19294.0,732,225 YEE KUK ST|225 醫局街,14123208.0,19294.0,732.0,-0.03645625249700357,-0.03645625249700357
2019-6-15,14657568.0,20024.0,1,14657568.0,20024.0,732,225 YEE KUK ST|225 醫局街,14657568.0,20024.0,732.0,0.011210988789011278,0.011210988789011278
2019-5-15,14495064.0,19802.0,1,14495064.0,19802.0,732,225 YEE KUK ST|225 醫局街,14495064.0,19802.0,732.0,0.02130073753159012,0.02130073753159012
2019-4-15,14192748.0,19389.0,1,14192748.0,19389.0,732,225 YEE KUK ST|225 醫局街,14192748.0,19389.0,732.0,-0.012528647822765415,-0.012528647822765415
2019-3-15,14372820.0,19635.0,1,14372820.0,19635.0,732,225 YEE KUK ST|225 醫局街,14372820.0,19635.0,732.0,0.020265003897116163,0.020265003897116163
2019-2-15,14087340.0,19245.0,1,14087340.0,19245.0,732,225 YEE KUK ST|225 醫局街,14087340.0,19245.0,732.0,0.03729855009971428,0.03729855009971428
2019-1-15,13580796.0,18553.0,1,13580796.0,18553.0,732,225 YEE KUK ST|225 醫局街,13580796.0,18553.0,732.0,0.015267593301959037,0.015267593301959037
2018-12-15,13376568.0,18274.0,1,13376568.0,18274.0,732,225 YEE KUK ST|225 醫局街,13376568.0,18274.0,732.0,-0.008840917719802555,-0.008840917719802555
2018-11-15,13495884.0,18437.0,1,13495884.0,18437.0,732,225 YEE KUK ST|225 醫局街,13495884.0,18437.0,732.0,-0.016640887514000724,-0.016640887514000724
2018-10-15,13724268.0,18749.0,1,13724268.0,18749.0,732,225 YEE KUK ST|225 醫局街,13724268.0,18749.0,732.0,-0.03797013700035923,-0.03797013700035923
2018-9-15,14265948.0,19489.0,1,14265948.0,19489.0,732,225 YEE KUK ST|225 醫局街,14265948.0,19489.0,732.0,-0.05681653196534853,-0.05681653196534864
2018-8-15,15125315.999999998,20663.0,1,15125315.999999998,20663.0,732,225 YEE KUK ST|225 醫局街,15125315.999999998,20663.0,732.0,0.003106946939171795,0.003106946939171795
