,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
17440,20071600260024,ASP,2020-07-03,RES,blank,1973/11,2.55,0,149,0,17114,blank,FR:305 SF / ,5739713,20071600260024,B,14.0,blank,blank,PINE TREE BLDG,松林大廈,blank,blank,HILLWOOD RD,山林道,25,27,KTST,KIL9700 / KIL9875,|PINE TREE BLDG松林大廈|Phase |Block ,山林道PINE TREE BLDG松林大廈|Phase|Block,山林道PINE TREE BLDG松林大廈|Phase|Block|14|B,尖沙咀,1973,47,PINE TREE BLDG松林大廈,25-27 HILLWOOD RD|山林道,25-27 HILLWOOD RD,25-27 山林道,"松林大廈,山林道","PINE TREE BLDG,HILLWOOD RD","PINE TREE BLDG,HILLWOOD RD|松林大廈,山林道",HILLWOOD RDblankPINE TREE BLDG松林大廈|Phaseblank|Blockblank|14|Bconsid2.55,14,中,低層,西北,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17226,19120500180163,ASP,2019-11-23,RES,blank,1971/08,3.0,0,319,0,9404,blank,blank,5649554,19120500180163,B,1.0,blank,blank,blank,blank,blank,blank,SHANGHAI ST,上海街,25,35,KTST,KIL1655sDRP /,||Phase |Block ,上海街|Phase|Block,上海街|Phase|Block|1|B,尖沙咀,1971,49,blankblank,25-35 SHANGHAI ST|上海街,25-35 SHANGHAI ST,25-35 上海街,25-35 上海街,25-35 SHANGHAI ST,25-35 SHANGHAI ST|上海街,SHANGHAI STblankblankblank|Phaseblank|Blockblank|1|Bconsid3.0,1,中,低層,東南,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
17152,19092600670351,ASP,2019-09-02,RES,blank,1973/09,3.18,0,570,0,5579,+F/R:405 SF ,blank,5616747,19092600670351,blank,4.0,blank,blank,WING HING MANS,永興大廈,blank,blank,GRANVILLE CIRT,嘉蘭圍,16,blank,KTST,KIL8543,|WING HING MANS永興大廈|Phase |Block ,嘉蘭圍WING HING MANS永興大廈|Phase|Block,嘉蘭圍WING HING MANS永興大廈|Phase|Block|4|,尖沙咀,1973,47,WING HING MANS永興大廈,16 GRANVILLE CIRT|嘉蘭圍,16 GRANVILLE CIRT,16 嘉蘭圍,"永興大廈,嘉蘭圍","WING HING MANS,GRANVILLE CIRT","WING HING MANS,GRANVILLE CIRT|永興大廈,嘉蘭圍",GRANVILLE CIRTblankWING HING MANS永興大廈|Phaseblank|Blockblank|4|blankconsid3.18,4,中,高層,東南,四正,良好,單位實用四正 交通方便 配套完善
17217,19112901190171,ASP,2019-11-14,RES,blank,1971/01,3.28,0,371,0,8841,blank,blank,5647434,19112901190171,A,4.0,blank,blank,blank,blank,blank,blank,BOWRING ST,寶靈街,40,44,KTST,KIL8616RP / KIL9110RP /,||Phase |Block ,寶靈街|Phase|Block,寶靈街|Phase|Block|4|A,尖沙咀,1971,49,blankblank,40-44 BOWRING ST|寶靈街,40-44 BOWRING ST,40-44 寶靈街,40-44 寶靈街,40-44 BOWRING ST,40-44 BOWRING ST|寶靈街,BOWRING STblankblankblank|Phaseblank|Blockblank|4|Aconsid3.28,4,中,低層,西北,四正,良好,業主減價 上車筍盤 歡迎約睇
16941,19051400240033,ASP,2019-04-29,RES,blank,1959/06,3.28,0,282,0,11631,blank,blank,5542327,19051400240033,E3,13.0,blank,blank,NATIONAL COURT,立信大廈,blank,blank,NATHAN RD,彌敦道,242,blank,KTST,KIL6360,|NATIONAL COURT立信大廈|Phase |Block ,彌敦道NATIONAL COURT立信大廈|Phase|Block,彌敦道NATIONAL COURT立信大廈|Phase|Block|13|E3,尖沙咀,1959,61,NATIONAL COURT立信大廈,242 NATHAN RD|彌敦道,242 NATHAN RD,242 彌敦道,"立信大廈,彌敦道","NATIONAL COURT,NATHAN RD","NATIONAL COURT,NATHAN RD|立信大廈,彌敦道",NATHAN RDblankNATIONAL COURT立信大廈|Phaseblank|Blockblank|13|E3consid3.28,13,高,高層,西,呂字型,有,業主減價 上車筍盤 歡迎約睇
17105,19082000180092,ASP,2019-07-25,RES,blank,1980/11,3.3,373,274,8847,12044,blank,blank,5600695,19082000180092,D,10.0,blank,blank,WING FU MANS,永富大廈,blank,blank,PARKES ST,白加士街,10,24,KTST,KIL8583RP / KIL8619RP /,|WING FU MANS永富大廈|Phase |Block ,白加士街WING FU MANS永富大廈|Phase|Block,白加士街WING FU MANS永富大廈|Phase|Block|10|D,尖沙咀,1980,40,WING FU MANS永富大廈,10-24 PARKES ST|白加士街,10-24 PARKES ST,10-24 白加士街,"永富大廈,白加士街","WING FU MANS,PARKES ST","WING FU MANS,PARKES ST|永富大廈,白加士街",PARKES STblankWING FU MANS永富大廈|Phaseblank|Blockblank|10|Dconsid3.3,10,低,中層,北,呂字型,良好,單位實用四正 交通方便 配套完善
17350,20042302120018,ASP,2020-04-14,RES,blank,1984/09,3.4,303,200,11221,17000,blank,BW:12 SF (GU/NU) / ,5699566,20042302120018,A,15.0,blank,blank,HART AVENUE COURT,夏蕙閣,blank,blank,HART AVE,赫德道,19,23,KTST,KIL10429RP / KIL10432RP /,|HART AVENUE COURT夏蕙閣|Phase |Block ,赫德道HART AVENUE COURT夏蕙閣|Phase|Block,赫德道HART AVENUE COURT夏蕙閣|Phase|Block|15|A,尖沙咀,1984,36,HART AVENUE COURT夏蕙閣,19-23 HART AVE|赫德道,19-23 HART AVE,19-23 赫德道,"夏蕙閣,赫德道","HART AVENUE COURT,HART AVE","HART AVENUE COURT,HART AVE|夏蕙閣,赫德道",HART AVEblankHART AVENUE COURT夏蕙閣|Phaseblank|Blockblank|15|Aconsid3.4,15,低,中層,北,呂字型,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16873,19041001630150,ASP,2019-03-22,RES,blank,1979/07,3.45,345,250,10000,13800,blank,blank,5523546,19041001630150,D,3.0,blank,blank,HAN CHEONG BLDG,恒昌大廈,blank,blank,SHANGHAI ST,上海街,20,26,KTST,KIL7422 / KIL6288/KIL8886,|HAN CHEONG BLDG恒昌大廈|Phase |Block ,上海街HAN CHEONG BLDG恒昌大廈|Phase|Block,上海街HAN CHEONG BLDG恒昌大廈|Phase|Block|3|D,尖沙咀,1979,41,HAN CHEONG BLDG恒昌大廈,20-26 SHANGHAI ST|上海街,20-26 SHANGHAI ST,20-26 上海街,"恒昌大廈,上海街","HAN CHEONG BLDG,SHANGHAI ST","HAN CHEONG BLDG,SHANGHAI ST|恒昌大廈,上海街",SHANGHAI STblankHAN CHEONG BLDG恒昌大廈|Phaseblank|Blockblank|3|Dconsid3.45,3,低,中層,東南,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
16898,19041801580171,ASP,2019-04-11,RES,blank,1970/11,3.58,0,335,0,10687,blank,blank,5529235,19041801580171,5,3.0,blank,blank,STAR MANS,恒星樓,blank,blank,MINDEN ROW,緬甸臺,3,blank,KTST,KIL9401,|STAR MANS恒星樓|Phase |Block ,緬甸臺STAR MANS恒星樓|Phase|Block,緬甸臺STAR MANS恒星樓|Phase|Block|3|5,尖沙咀,1970,50,STAR MANS恒星樓,3 MINDEN ROW|緬甸臺,3 MINDEN ROW,3 緬甸臺,"恒星樓,緬甸臺","STAR MANS,MINDEN ROW","STAR MANS,MINDEN ROW|恒星樓,緬甸臺",MINDEN ROWblankSTAR MANS恒星樓|Phaseblank|Blockblank|3|5consid3.58,3,中,中層,東北,呂字型,良好,單位實用四正 交通方便 配套完善
17073,19073001950066,ASP,2019-07-15,RES,blank,1959/06,3.58,0,383,0,9347,blank,blank,5590006,19073001950066,B3,14.0,blank,blank,NATIONAL COURT,立信大廈,blank,blank,NATHAN RD,彌敦道,242,blank,KTST,KIL6360,|NATIONAL COURT立信大廈|Phase |Block ,彌敦道NATIONAL COURT立信大廈|Phase|Block,彌敦道NATIONAL COURT立信大廈|Phase|Block|14|B3,尖沙咀,1959,61,NATIONAL COURT立信大廈,242 NATHAN RD|彌敦道,242 NATHAN RD,242 彌敦道,"立信大廈,彌敦道","NATIONAL COURT,NATHAN RD","NATIONAL COURT,NATHAN RD|立信大廈,彌敦道",NATHAN RDblankNATIONAL COURT立信大廈|Phaseblank|Blockblank|14|B3consid3.58,14,高,高層,東北,四正,良好,單位實用四正 交通方便 配套完善
16823,19030100380120,ASP,2019-02-25,RES,blank,1981/04,3.68,336,260,10952,14154,blank,blank,5505628,19030100380120,A,5.0,blank,blank,EALING COURT,怡齡閣,blank,blank,TEMPLE ST,廟街,259A,blank,KTST,KIL1492sERP /,|EALING COURT怡齡閣|Phase |Block ,廟街EALING COURT怡齡閣|Phase|Block,廟街EALING COURT怡齡閣|Phase|Block|5|A,尖沙咀,1981,39,EALING COURT怡齡閣,259A TEMPLE ST|廟街,259A TEMPLE ST,259A 廟街,"怡齡閣,廟街","EALING COURT,TEMPLE ST","EALING COURT,TEMPLE ST|怡齡閣,廟街",TEMPLE STblankEALING COURT怡齡閣|Phaseblank|Blockblank|5|Aconsid3.68,5,低,高層,南,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
