,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,flLv,orient,layout,finishes,remark
5550,19010901860049,ASP,2019-01-02,RES,blank,1990/01,2.7,0,407,0,6634,blank,blank,5482348,19010901860049,9,3.0,3,blank,LUNG YUE HSE,龍裕樓,LOWER WONG TAI SIN EST,黃大仙下村,TAI SHING ST,大成街,3,blank,KWTH,NKIL6373,LOWER WONG TAI SIN EST|LUNG YUE HSE龍裕樓|Phase |Block 3,大成街LOWER WONG TAI SIN ESTLUNG YUE HSE龍裕樓|Phase|Block3,大成街LOWER WONG TAI SIN ESTLUNG YUE HSE龍裕樓|Phase|Block3|3|9,橫頭磡/黃大仙,1990,30,LUNG YUE HSE龍裕樓,3 TAI SHING ST|大成街,3 TAI SHING ST,3 大成街,"龍裕樓,黃大仙下村,大成街","LUNG YUE HSE,LOWER WONG TAI SIN EST,TAI SHING ST","LUNG YUE HSE,LOWER WONG TAI SIN EST,TAI SHING ST|龍裕樓,黃大仙下村,大成街",TAI SHING STLOWER WONG TAI SIN ESTLUNG YUE HSE龍裕樓|Phaseblank|Block3|3|9consid2.7,3,低層,東,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
5552,19011702220132,ASP,2019-01-08,RES,blank,2001/04,3.92,503,407,7793,9631,blank,blank,5486577,19011702220132,8,1.0,B,2,blank,blank,KA KEUNG COURT,嘉強苑,FU MEI ST,富美街,3,blank,KWTH,NKIL6226,KA KEUNG COURT||Phase 2|Block B,富美街KA KEUNG COURT|Phase2|BlockB,富美街KA KEUNG COURT|Phase2|BlockB|1|8,橫頭磡/黃大仙,2001,19,blankblank,3 FU MEI ST|富美街,3 FU MEI ST,3 富美街,"嘉強苑B座,富美街","KA KEUNG COURT(BLOCK B),FU MEI ST","KA KEUNG COURT(Block B),FU MEI ST|嘉強苑B座,富美街",FU MEI STKA KEUNG COURTblankblank|Phase2|BlockB|1|8consid3.92,1,高層,東,呂字型,良好,單位實用四正 交通方便 配套完善
5556,19012100270225,ASP,2019-01-14,RES,blank,1990/08,3.2,0,494,0,6478,blank,blank,5487587,19012100270225,12,6.0,15,blank,LUNG HONG HSE,龍康樓,LOWER WONG TAI SIN EST,黃大仙下村,TAI SHING ST,大成街,3,blank,KWTH,NKIL6373,LOWER WONG TAI SIN EST|LUNG HONG HSE龍康樓|Phase |Block 15,大成街LOWER WONG TAI SIN ESTLUNG HONG HSE龍康樓|Phase|Block15,大成街LOWER WONG TAI SIN ESTLUNG HONG HSE龍康樓|Phase|Block15|6|12,橫頭磡/黃大仙,1990,30,LUNG HONG HSE龍康樓,3 TAI SHING ST|大成街,3 TAI SHING ST,3 大成街,"龍康樓,黃大仙下村,大成街","LUNG HONG HSE,LOWER WONG TAI SIN EST,TAI SHING ST","LUNG HONG HSE,LOWER WONG TAI SIN EST,TAI SHING ST|龍康樓,黃大仙下村,大成街",TAI SHING STLOWER WONG TAI SIN ESTLUNG HONG HSE龍康樓|Phaseblank|Block15|6|12consid3.2,6,中層,南,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
5557,19012200970042,ASP,2019-01-18,RES,blank,2001/07,4.815,509,404,9460,11918,blank,blank,5488265,19012200970042,3,12.0,B,blank,blank,blank,TAK KEUNG COURT,德強苑,FU KEUNG ST,富強街,9,blank,KWTH,NKIL6169 (PORTION),TAK KEUNG COURT||Phase |Block B,富強街TAK KEUNG COURT|Phase|BlockB,富強街TAK KEUNG COURT|Phase|BlockB|12|3,橫頭磡/黃大仙,2001,19,blankblank,9 FU KEUNG ST|富強街,9 FU KEUNG ST,9 富強街,"德強苑B座,富強街","TAK KEUNG COURT(BLOCK B),FU KEUNG ST","TAK KEUNG COURT(Block B),FU KEUNG ST|德強苑B座,富強街",FU KEUNG STTAK KEUNG COURTblankblank|Phaseblank|BlockB|12|3consid4.815,12,低層,北,沒資料,基本,業主減價 上車筍盤 歡迎約睇
5558,19012201930070,ASP,2019-01-14,RES,blank,1974/01/07,3.26,386,367,8446,8883,blank,blank,5488469,19012201930070,L,3.0,blank,blank,KAM KWOK BLDG,金國大樓,blank,blank,JUNCTION RD,聯合道,182,188,KWTH,NKIL4639,|KAM KWOK BLDG金國大樓|Phase |Block ,聯合道KAM KWOK BLDG金國大樓|Phase|Block,聯合道KAM KWOK BLDG金國大樓|Phase|Block|3|L,橫頭磡/黃大仙,1974,46,KAM KWOK BLDG金國大樓,182-188 JUNCTION RD|聯合道,182-188 JUNCTION RD,182-188 聯合道,"金國大樓,聯合道","KAM KWOK BLDG,JUNCTION RD","KAM KWOK BLDG,JUNCTION RD|金國大樓,聯合道",JUNCTION RDblankKAM KWOK BLDG金國大樓|Phaseblank|Blockblank|3|Lconsid3.26,3,中層,西北,呂字型,良好,業主減價 上車筍盤 歡迎約睇
5560,19012801010077,ASP,2019-01-18,RES,blank,1986/03,2.2,0,424,0,5189,blank,blank,5490738,19012801010077,6,7.0,blank,blank,YIU TUNG HSE,耀東樓,TUNG TAU EST,東頭村,TUNG TAU TSUEN RD,東頭村道,183,blank,KWTH,NKIL6413,TUNG TAU EST|YIU TUNG HSE耀東樓|Phase |Block ,東頭村道TUNG TAU ESTYIU TUNG HSE耀東樓|Phase|Block,東頭村道TUNG TAU ESTYIU TUNG HSE耀東樓|Phase|Block|7|6,橫頭磡/黃大仙,1986,34,YIU TUNG HSE耀東樓,183 TUNG TAU TSUEN RD|東頭村道,183 TUNG TAU TSUEN RD,183 東頭村道,"耀東樓,東頭村,東頭村道","YIU TUNG HSE,TUNG TAU EST,TUNG TAU TSUEN RD","YIU TUNG HSE,TUNG TAU EST,TUNG TAU TSUEN RD|耀東樓,東頭村,東頭村道",TUNG TAU TSUEN RDTUNG TAU ESTYIU TUNG HSE耀東樓|Phaseblank|Blockblank|7|6consid2.2,7,中層,西南,四正,有,單位實用四正 交通方便 配套完善
5561,19020102540029,ASP,2019-01-25,RES,blank,1986/11,4.0,462,338,8658,11834,blank,blank,5494059,19020102540029,4,19.0,E,blank,CHUN HONG HSE,駿康閣,TIN MA COURT,天馬苑,CHUK YUEN RD,竹園道,55,blank,KWTH,NKIL5994RP,TIN MA COURT|CHUN HONG HSE駿康閣|Phase |Block E,竹園道TIN MA COURTCHUN HONG HSE駿康閣|Phase|BlockE,竹園道TIN MA COURTCHUN HONG HSE駿康閣|Phase|BlockE|19|4,橫頭磡/黃大仙,1986,34,CHUN HONG HSE駿康閣,55 CHUK YUEN RD|竹園道,55 CHUK YUEN RD,55 竹園道,"駿康閣,天馬苑,竹園道","CHUN HONG HSE,TIN MA COURT,CHUK YUEN RD","CHUN HONG HSE,TIN MA COURT,CHUK YUEN RD|駿康閣,天馬苑,竹園道",CHUK YUEN RDTIN MA COURTCHUN HONG HSE駿康閣|Phaseblank|BlockE|19|4consid4.0,19,低層,南,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
5564,19020401850081,ASP,2019-01-16,RES,blank,1986/11,5.4,567,415,9524,13012,blank,blank,5494819,19020401850081,14,22.0,E,blank,CHUN HONG HSE,駿康閣,TIN MA COURT,天馬苑,CHUK YUEN RD,竹園道,55,blank,KWTH,NKIL5994RP,TIN MA COURT|CHUN HONG HSE駿康閣|Phase |Block E,竹園道TIN MA COURTCHUN HONG HSE駿康閣|Phase|BlockE,竹園道TIN MA COURTCHUN HONG HSE駿康閣|Phase|BlockE|22|14,橫頭磡/黃大仙,1986,34,CHUN HONG HSE駿康閣,55 CHUK YUEN RD|竹園道,55 CHUK YUEN RD,55 竹園道,"駿康閣,天馬苑,竹園道","CHUN HONG HSE,TIN MA COURT,CHUK YUEN RD","CHUN HONG HSE,TIN MA COURT,CHUK YUEN RD|駿康閣,天馬苑,竹園道",CHUK YUEN RDTIN MA COURTCHUN HONG HSE駿康閣|Phaseblank|BlockE|22|14consid5.4,22,低層,南,四正,良好,業主減價 上車筍盤 歡迎約睇
5565,19021201320068,ASP,2019-01-28,RES,blank,1991/09,3.028,0,385,0,7865,blank,blank,5496533,19021201320068,9,8.0,blank,blank,CHUN TUNG HSE,振東樓,TUNG TAU EST,東頭村,TUNG TAU TSUEN RD,東頭村道,183,blank,KWTH,NKIL6413,TUNG TAU EST|CHUN TUNG HSE振東樓|Phase |Block ,東頭村道TUNG TAU ESTCHUN TUNG HSE振東樓|Phase|Block,東頭村道TUNG TAU ESTCHUN TUNG HSE振東樓|Phase|Block|8|9,橫頭磡/黃大仙,1991,29,CHUN TUNG HSE振東樓,183 TUNG TAU TSUEN RD|東頭村道,183 TUNG TAU TSUEN RD,183 東頭村道,"振東樓,東頭村,東頭村道","CHUN TUNG HSE,TUNG TAU EST,TUNG TAU TSUEN RD","CHUN TUNG HSE,TUNG TAU EST,TUNG TAU TSUEN RD|振東樓,東頭村,東頭村道",TUNG TAU TSUEN RDTUNG TAU ESTCHUN TUNG HSE振東樓|Phaseblank|Blockblank|8|9consid3.028,8,高層,東北,沒資料,有,單位實用四正 交通方便 配套完善
5566,19021301640073,ASP,2019-01-30,RES,blank,2001/04,4.88,503,407,9702,11990,blank,blank,5497310,19021301640073,8,35.0,B,2,blank,blank,KA KEUNG COURT,嘉強苑,FU MEI ST,富美街,3,blank,KWTH,NKIL6226,KA KEUNG COURT||Phase 2|Block B,富美街KA KEUNG COURT|Phase2|BlockB,富美街KA KEUNG COURT|Phase2|BlockB|35|8,橫頭磡/黃大仙,2001,19,blankblank,3 FU MEI ST|富美街,3 FU MEI ST,3 富美街,"嘉強苑B座,富美街","KA KEUNG COURT(BLOCK B),FU MEI ST","KA KEUNG COURT(Block B),FU MEI ST|嘉強苑B座,富美街",FU MEI STKA KEUNG COURTblankblank|Phase2|BlockB|35|8consid4.88,35,高層,西南,呂字型,良好,業主減價 上車筍盤 歡迎約睇
