,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
27679,19120500460024,ASP,2019-11-23,RES,blank,1971/01,1.25,0,213,0,5869,blank,blank,5649634,19120500460024,B2,5.0,blank,blank,HUNG WAN BLDG,鴻運樓,blank,blank,CASTLE PEAK RD KWAI CHUNG,青山公路葵涌段,472,blank,NKC,KCTL55 / DD444LOT311,|HUNG WAN BLDG鴻運樓|Phase |Block ,青山公路葵涌段HUNG WAN BLDG鴻運樓|Phase|Block,青山公路葵涌段HUNG WAN BLDG鴻運樓|Phase|Block|5|B2,葵涌,1971,49,HUNG WAN BLDG鴻運樓,472 CASTLE PEAK RD KWAI CHUNG|青山公路葵涌段,472 CASTLE PEAK RD KWAI CHUNG,472 青山公路葵涌段,"鴻運樓,青山公路葵涌段","HUNG WAN BLDG,CASTLE PEAK RD KWAI CHUNG","HUNG WAN BLDG,CASTLE PEAK RD KWAI CHUNG|鴻運樓,青山公路葵涌段",CASTLE PEAK RD KWAI CHUNGblankHUNG WAN BLDG鴻運樓|Phaseblank|Blockblank|5|B2consid1.25,5,中,中層,北,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28074,20060300150014,ASP,2020-05-28,RES,blank,2020/06,1.7775,0,287,0,6193,blank,blank,5717169,20060300150014,3,3.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|3|3,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|3|3consid1.7775,3,近乎零,中層,西北,四正,基本,業主減價 上車筍盤 歡迎約睇
28055,20052700660084,ASP,2020-05-20,RES,blank,1992/10,1.85,0,241,0,7676,blank,blank,5712798,20052700660084,6,9.0,3,blank,HING FUK HSE,興福樓,KWAI HING EST,葵興村,WO KWAI LANE,禾葵里,2,blank,NKC,KCTL489,KWAI HING EST|HING FUK HSE興福樓|Phase |Block 3,禾葵里KWAI HING ESTHING FUK HSE興福樓|Phase|Block3,禾葵里KWAI HING ESTHING FUK HSE興福樓|Phase|Block3|9|6,葵涌,1992,28,HING FUK HSE興福樓,2 WO KWAI LANE|禾葵里,2 WO KWAI LANE,2 禾葵里,"興福樓,葵興村,禾葵里","HING FUK HSE,KWAI HING EST,WO KWAI LANE","HING FUK HSE,KWAI HING EST,WO KWAI LANE|興福樓,葵興村,禾葵里",WO KWAI LANEKWAI HING ESTHING FUK HSE興福樓|Phaseblank|Block3|9|6consid1.85,9,低,中層,西,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
27839,20030601720289,ASP,2020-03-02,RES,blank,1967/03,1.88,0,300,0,6267,blank,blank,5681998,20030601720289,A,6.0,A,blank,blank,blank,MING TONG BLDG,名堂大樓,PING FU PATH,屏富徑,3,blank,NKC,DD444LOT305,MING TONG BLDG||Phase |Block A,屏富徑MING TONG BLDG|Phase|BlockA,屏富徑MING TONG BLDG|Phase|BlockA|6|A,葵涌,1967,53,blankblank,3 PING FU PATH|屏富徑,3 PING FU PATH,3 屏富徑,"名堂大樓A座,屏富徑","MING TONG BLDG(BLOCK A),PING FU PATH","MING TONG BLDG(Block A),PING FU PATH|名堂大樓A座,屏富徑",PING FU PATHMING TONG BLDGblankblank|Phaseblank|BlockA|6|Aconsid1.88,6,中,低層,東,呂字型,基本,業主減價 上車筍盤 歡迎約睇
28185,20061901550015,ASP,2020-06-12,RES,blank,2020/06,1.8928,0,287,0,6595,blank,blank,5726370,20061901550015,3,6.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|6|3,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|6|3consid1.8928,6,近乎零,高層,北,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28157,20061700790016,ASP,2020-06-10,RES,blank,2020/06,1.9141,0,291,0,6578,blank,blank,5724670,20061700790016,10,3.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|3|10,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|3|10consid1.9141,3,近乎零,中層,西,四正,基本,單位實用四正 交通方便 配套完善
28253,20070700920010,ASP,2020-06-11,RES,blank,2020/06,1.9358,0,287,0,6745,blank,blank,5734352,20070700920010,3,11.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|11|3,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|11|3consid1.9358,11,近乎零,高層,西北,呂字型,基本,單位實用四正 交通方便 配套完善
28177,20061900470012,ASP,2020-06-12,RES,blank,2020/06,1.9374,0,286,0,6774,blank,blank,5726100,20061900470012,2,14.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|14|2,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|14|2consid1.9374,14,近乎零,高層,東北,呂字型,基本,單位實用四正 交通方便 配套完善
28169,20061800600123,ASP,2020-06-10,RES,blank,2020/06,1.9546,0,293,0,6671,blank,blank,5725393,20061800600123,5,9.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|9|5,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|9|5consid1.9546,9,近乎零,中層,北,沒資料,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28215,20062402290041,ASP,2020-06-11,RES,blank,2020/06,1.9581,0,286,0,6846,blank,blank,5729198,20062402290041,2,17.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|17|2,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|17|2consid1.9581,17,近乎零,中層,東北,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
28281,20071001230013,ASP,2020-06-09,RES,blank,2020/06,1.965,0,286,0,6871,blank,blank,5736876,20071001230013,2,18.0,blank,blank,SHEUNG MAN COURT,尚文苑,blank,blank,TEXACO RD,德士古道,69,blank,NKC,KCTL513,|SHEUNG MAN COURT尚文苑|Phase |Block ,德士古道SHEUNG MAN COURT尚文苑|Phase|Block,德士古道SHEUNG MAN COURT尚文苑|Phase|Block|18|2,葵涌,2020,0,SHEUNG MAN COURT尚文苑,69 TEXACO RD|德士古道,69 TEXACO RD,69 德士古道,"尚文苑,德士古道","SHEUNG MAN COURT,TEXACO RD","SHEUNG MAN COURT,TEXACO RD|尚文苑,德士古道",TEXACO RDblankSHEUNG MAN COURT尚文苑|Phaseblank|Blockblank|18|2consid1.965,18,近乎零,低層,西,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
