,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_36,npsf_36,nfa_36,lumpSum_44,npsf_44,nfa_44,lumpSum_87,npsf_87,nfa_87,lumpSum_change,npsf_change
2019-12-15,66294298.666666664,24703.666666666668,3,198882896.0,74111.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",64521428.0,24931.0,2588.0,64495548.0,24921.0,2588.0,69865920.0,24259.0,2880.0,-0.06371157855552612,-0.0637112464310079
2019-11-15,70805424.0,26384.666666666668,3,212416272.0,79154.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",68910676.0,26627.0,2588.0,68884796.0,26617.0,2588.0,74620800.0,25910.0,2880.0,0.02633481625742884,0.026334556487688454
2019-10-15,68988621.33333333,25707.666666666668,3,206965864.0,77123.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",67143072.0,25944.0,2588.0,67117192.0,25934.0,2588.0,72705600.0,25245.0,2880.0,-0.01166190626182495,-0.011661732856611873
2019-9-15,69802653.33333333,26011.0,3,209407960.0,78033.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",67935000.0,26250.0,2588.0,67909120.0,26240.0,2588.0,73563840.0,25543.0,2880.0,-0.039487330668145026,-0.039487450917640055
2019-8-15,72672288.0,27080.333333333332,3,218016864.0,81241.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",70727452.0,27329.0,2588.0,70701572.0,27319.0,2588.0,76587840.0,26593.0,2880.0,0.008966370031285198,0.008966827705261915
2019-7-15,72026472.0,26839.666666666668,3,216079416.0,80519.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",70098568.0,27086.0,2588.0,70072688.0,27076.0,2588.0,75908160.0,26357.0,2880.0,0.004929450859821438,0.004929858718985658
2019-6-15,71673162.66666667,26708.0,3,215019488.0,80124.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",69754364.0,26953.0,2588.0,69728484.0,26943.0,2588.0,75536640.0,26228.0,2880.0,-0.00837779333566313,-0.008378609175629048
2019-5-15,72278698.66666667,26933.666666666668,3,216836096.0,80801.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",70344428.0,27181.0,2588.0,70318548.0,27171.0,2588.0,76173120.0,26449.0,2880.0,0.0396286496973306,0.03962892911825633
2019-4-15,69523573.33333333,25907.0,3,208570720.0,77721.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",67663260.0,26145.0,2588.0,67637380.0,26135.0,2588.0,73270080.0,25441.0,2880.0,0.02275244392220177,0.0227523949889461
2019-3-15,67976932.0,25330.666666666668,3,203930796.0,75992.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",66157044.0,25563.0,2588.0,66133752.0,25554.0,2588.0,71640000.0,24875.0,2880.0,0.0027970024998573706,0.002797571918712105
2019-2-15,67787330.66666667,25260.0,3,203361992.0,75780.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",65973296.0,25492.0,2588.0,65947416.0,25482.0,2588.0,71441280.0,24806.0,2880.0,0.022751409307059323,0.022796291047495698
2019-1-15,66279381.333333336,24697.0,3,198838144.0,74091.0,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",64526604.0,24933.0,2588.0,64376500.0,24875.0,2588.0,69935040.0,24283.0,2880.0,,
2018-12-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-11-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-10-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
2018-9-15,,,3,,,8056,"PALM DR(THE REDHILL PENINSULAPhase D),PAK PAT SHAN RD|棕櫚徑(紅山半島),第D期,白筆山道",,,2588.0,,,2588.0,,,2880.0,,
