,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6762157.479192183,11390.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7478688.087217198,12885.0,641.0,7154784.0,11232.0,637.0,5362067.8295515375,9788.0,605.0,7053090.0,11658.0,605.0,,-0.01288561991427939,-0.000986669005437646
2022-11-15,6850429.510109011,11402.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7576455.27443485,12741.0,641.0,7247786.0,11378.0,637.0,5431821.766001194,9678.0,605.0,7145655.0,11811.0,605.0,,-0.040903647486906336,-0.01764059706636223
2022-10-15,7142587.386719822,11606.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7898722.7956527,12643.0,641.0,7556731.0,11863.0,637.0,5663715.75122659,9605.0,605.0,7451180.000000001,12316.0,605.0,,-0.029027871332792943,-0.017334800829699848
2022-9-15,7356119.888347369,11811.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8053972.529508013,12573.0,641.0,7904533.000000001,12409.0,637.0,5670549.02388146,9379.0,605.0,7795425.0,12885.0,605.0,,0.013105105325524224,-0.012932205160346766
2022-8-15,7260964.1879000785,11966.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7950459.458898635,13116.0,641.0,7801339.0,12247.0,637.0,5597063.292701681,9783.0,605.0,7694995.000000001,12719.0,605.0,,-0.05065068483241808,-0.02731207705907457
2022-7-15,7648358.798908863,12302.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8374753.011815078,13123.0,641.0,8216663.0,12899.0,637.0,5896834.183820373,9790.0,605.0,8105185.0,13397.0,605.0,,-0.07393979312050991,-0.07367806788020259
2022-6-15,8259029.75,13280.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8450944.0,13184.0,641.0,8402030.0,13190.0,637.0,7981765.0,13193.0,605.0,8201380.0,13556.0,605.0,,0.020125639031405296,0.020124819971195418
2022-5-15,8096090.75,13018.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8283643.0,12923.0,641.0,8236410.0,12930.0,637.0,7823860.000000001,12932.0,605.0,8040450.0,13290.0,605.0,,-0.021716774170180697,-0.02171666885837198
2022-4-15,8275814.75,13307.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8467610.0,13210.0,641.0,8419229.0,13217.0,637.0,7997495.000000001,13219.0,605.0,8218925.0,13585.0,605.0,,0.029594730760580612,0.02959323804181735
2022-3-15,8037934.25,12925.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8224030.0,12830.0,641.0,8176532.0,12836.0,637.0,7767595.0,12839.0,605.0,7983580.0,13196.0,605.0,,-0.025318847514385068,-0.02531860342357284
2022-2-15,8246732.0,13261.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8437483.0,13163.0,641.0,8389290.0,13170.0,637.0,7969060.0,13172.0,605.0,8191095.0,13539.0,605.0,,-0.010372288275548591,-0.010446981568539626
2022-1-15,8333166.0,13401.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8502865.0,13265.0,641.0,8454264.0,13272.0,637.0,8030769.999999999,13274.0,605.0,8344765.0,13793.0,605.0,,-0.051268182003964435,-0.05125663716814155
2021-12-15,8783479.0,14125.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",9059894.0,14134.0,641.0,8810347.0,13831.0,637.0,8566195.0,14159.0,605.0,8697480.0,14376.0,605.0,,0.03087189072579255,0.03087140563421409
2021-11-15,8520437.0,13702.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8788751.0,13711.0,641.0,8545992.0,13416.0,637.0,8309675.0,13735.0,605.0,8437330.0,13946.0,605.0,,-0.0074971474286786854,-0.007497012060410757
2021-10-15,8584798.5,13805.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8855415.0,13815.0,641.0,8610329.0,13517.0,637.0,8372595.0,13839.0,605.0,8500855.0,14051.0,605.0,,0.011689501020905269,0.011688406859152956
2021-9-15,8485606.0,13646.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8753496.0,13656.0,641.0,8509683.0,13359.0,637.0,8275795.0,13679.0,605.0,8403450.0,13890.0,605.0,,0.010817656752506455,0.010814814814814833
2021-8-15,8394794.0,13500.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8659910.0,13510.0,641.0,8416681.0,13213.0,637.0,8187464.999999999,13533.0,605.0,8315120.000000001,13744.0,605.0,,-0.001218258083087953,-0.0012207302186216795
2021-7-15,8405033.5,13516.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8670807.0,13527.0,641.0,8424962.0,13226.0,637.0,8197750.000000001,13550.0,605.0,8326614.999999999,13763.0,605.0,,-0.018163408088998745,-0.018605579858779087
2021-6-15,8560521.75,13772.75,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8625296.0,13456.0,641.0,8512231.0,13363.0,637.0,8630930.0,14266.0,605.0,8473630.0,14006.0,605.0,,-0.004228687626937511,-0.004229552643470358
2021-5-15,8596875.25,13831.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8661833.0,13513.0,641.0,8547903.0,13419.0,637.0,8667835.0,14327.0,605.0,8509930.0,14066.0,605.0,,0.02763956629920883,0.027638984341623818
2021-4-15,8365652.25,13459.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8429150.0,13150.0,641.0,8317309.0,13057.0,637.0,8434910.0,13942.0,605.0,8281240.0,13688.0,605.0,,-0.0066214236706567675,-0.006624105100007327
2021-3-15,8421414.0,13549.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8484917.0,13237.0,641.0,8371454.0,13142.0,637.0,8491780.0,14036.0,605.0,8337505.0,13781.0,605.0,,0.0300933377575876,0.030087620930188352
2021-2-15,8175389.25,13153.25,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8236209.0,12849.0,641.0,8124298.0,12754.0,637.0,8245545.0,13629.0,605.0,8095504.999999999,13381.0,605.0,,0.027859803580629006,0.027838555911541718
2021-1-15,7953798.0,12797.0,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7966989.000000001,12429.0,641.0,7942752.999999999,12469.0,637.0,7986000.0,13200.0,605.0,7919450.0,13090.0,605.0,,-0.030048350647036037,-0.03005267745480733
2020-12-15,8200200.5,13193.5,"PARK YOHO VENEZIA(Block 2B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,2B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8213133.0,12813.0,641.0,8186724.0,12852.0,637.0,8232840.0,13608.0,605.0,8168104.999999999,13501.0,605.0,,-0.0007159938562596446,-0.0007195334393698127
