,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AD,npsf_AD,nfa_AD,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9184245.2,12411.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7948399.999999999,12400.0,641.0,14556231.0,11673.0,1247.0,8159332.999999999,12809.0,637.0,7808310.000000001,12885.0,606.0,7448952.0,12292.0,606.0,,-0.01635571277831005,-0.016404095476590497
2020-11-15,9336957.8,12618.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",8083010.0,12610.0,641.0,14794408.000000002,11864.0,1247.0,8294377.0,13021.0,637.0,7938600.0,13100.0,606.0,7574394.000000001,12499.0,606.0,,0.020018028957500045,0.019948270287746483
2020-10-15,9153718.4,12372.0,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7926606.0,12366.0,641.0,14498869.0,11627.0,1247.0,8131305.0,12765.0,637.0,7784070.0,12845.0,606.0,7427742.000000001,12257.0,606.0,,-0.008420495679780315,-0.008415484491464342
2020-9-15,9231451.8,12477.0,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7994551.999999999,12472.0,641.0,14622321.999999998,11726.0,1247.0,8200101.0,12873.0,637.0,7848912.0,12952.0,606.0,7491372.000000001,12362.0,606.0,,0.01787609921599942,0.01781606382458034
2020-8-15,9069327.6,12258.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7852250.0,12250.0,641.0,14361699.000000002,11517.0,1247.0,8053591.0,12643.0,637.0,7708926.000000001,12721.0,606.0,7370172.0,12162.0,606.0,,-0.005329264042408743,-0.0053228607130686445
2020-7-15,9117919.4,12324.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7894556.0,12316.0,641.0,14439013.0,11579.0,1247.0,8097544.000000001,12712.0,637.0,7750134.0,12789.0,606.0,7408350.000000001,12225.0,606.0,,-0.0029435187114426054,-0.002928707808808717
2020-6-15,9144837.4,12360.4,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7917632.0,12352.0,641.0,14482658.000000002,11614.0,1247.0,8122387.0,12751.0,637.0,7773162.0,12827.0,606.0,7428348.0,12258.0,606.0,,0.0019583072750151143,0.0031489416958836447
2020-5-15,9126964.0,12321.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7741998.000000001,12078.0,641.0,14552490.0,11670.0,1247.0,8161244.0,12812.0,637.0,7714380.0,12730.0,606.0,7464707.999999999,12318.0,606.0,,0.016549789896250333,0.01656656326315109
2020-4-15,8978373.8,12120.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7615080.0,11880.0,641.0,14316807.000000002,11481.0,1247.0,8028748.0,12604.0,637.0,7587726.0,12521.0,606.0,7343507.999999999,12118.0,606.0,,-0.016685144214018788,-0.016631780492949777
2020-3-15,9130721.2,12325.8,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7743921.0,12081.0,641.0,14563713.0,11679.0,1247.0,8165066.000000001,12818.0,637.0,7714380.000000001,12730.0,606.0,7466526.0,12321.0,606.0,,0.022825259346377802,0.022887966804979287
2020-2-15,8926961.0,12050.0,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7568927.999999999,11808.0,641.0,14243234.0,11422.0,1247.0,7983521.0,12533.0,637.0,7541064.000000001,12444.0,606.0,7298058.0,12043.0,606.0,,0.026407686867091273,0.026457910966488862
2020-1-15,8697285.8,11739.4,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7372141.0,11501.0,641.0,13880357.0,11131.0,1247.0,7778407.0,12211.0,637.0,7347144.0,12124.0,606.0,7108380.0,11730.0,606.0,,-0.039281141241268025,-0.0392188957818409
2019-12-15,9052893.8,12218.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7671488.0,11968.0,641.0,14452730.000000002,11590.0,1247.0,8096907.0,12711.0,637.0,7646508.000000001,12618.0,606.0,7396836.0,12206.0,606.0,,0.00931735831935776,0.009367874962825873
2019-11-15,8969323.4,12105.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7598414.0,11854.0,641.0,14323042.0,11486.0,1247.0,8023015.000000001,12595.0,637.0,7575606.0,12501.0,606.0,7326540.0,12090.0,606.0,,0.009518144390443073,0.00959116611899713
2019-10-15,8884757.0,11990.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7524058.0,11738.0,641.0,14193353.999999998,11382.0,1247.0,7947848.999999999,12477.0,637.0,7503492.000000001,12382.0,606.0,7255032.000000001,11972.0,606.0,,-0.026476935692906545,-0.026421774010198407
2019-9-15,9126396.0,12315.6,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7726614.0,12054.0,641.0,14583664.999999998,11695.0,1247.0,8164429.0,12817.0,637.0,7707108.0,12718.0,606.0,7450164.0,12294.0,606.0,,-0.024964255048283368,-0.024908552516983096
2019-8-15,9360063.0,12630.2,"PARK YOHO VENEZIA(Block 3A,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,3A座(PARK YOHO VENEZIA),18 青山公路潭尾段",7922119.000000001,12359.0,641.0,14961506.0,11998.0,1247.0,8374002.0,13146.0,637.0,7904058.0,13043.0,606.0,7638630.0,12605.0,606.0,,-0.01826027788039708,-0.01957709743526037
