,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7739319.4,12189.4,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7729996.999999999,13259.0,583.0,11534400.0,10680.0,1080.0,6173734.0,12422.0,497.0,6213494.0,12502.0,497.0,7044972.0,12084.0,583.0,,-0.01299379136353307,-0.01298806458404178
2022-11-15,7841206.4,12349.8,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",7830856.0,13432.0,583.0,11686680.0,10821.0,1080.0,6254745.0,12585.0,497.0,6295499.0,12667.0,497.0,7138252.0,12244.0,583.0,,-0.041041229861295214,-0.041060363704129466
2022-10-15,8176792.0,12878.6,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8164914.999999999,14005.0,583.0,12185640.0,11283.0,1080.0,6522628.0,13124.0,497.0,6565867.0,13211.0,497.0,7444910.000000001,12770.0,583.0,,-0.044227188756711944,-0.044231368649162106
2022-9-15,8555162.8,13474.6,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8541533.0,14651.0,583.0,12749400.0,11805.0,1080.0,6824307.0,13731.0,497.0,6870528.0,13824.0,497.0,7790046.0,13362.0,583.0,,0.013040729951405483,0.013036417766818076
2022-8-15,8445033.4,13301.2,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8430180.0,14460.0,583.0,12585240.0,11653.0,1080.0,6736835.0,13555.0,497.0,6782559.0,13647.0,497.0,7690353.0,13191.0,583.0,,-0.05192862214934757,-0.05205393540294756
2022-7-15,8907592.4,14031.6,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8938556.0,15332.0,583.0,13255920.000000002,12274.0,1080.0,7096166.000000001,14278.0,497.0,7145369.0,14377.0,497.0,8101950.999999999,13897.0,583.0,,-0.022282765118765258,-0.02229716547283922
2022-6-15,9110601.8,14351.6,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",9140857.0,15679.0,583.0,13557239.999999998,12553.0,1080.0,7258188.000000001,14604.0,497.0,7309379.0,14707.0,497.0,8287345.000000001,14215.0,583.0,,0.0200183801664382,0.02002871398314121
2022-5-15,8931801.6,14069.8,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8960710.0,15370.0,583.0,13291560.000000002,12307.0,1080.0,7114555.0,14315.0,497.0,7165746.000000001,14418.0,497.0,8126437.0,13939.0,583.0,,-0.021674445104465034,-0.02162605696484199
2022-4-15,9129682.4,14380.8,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",9160096.0,15712.0,583.0,13588560.0,12582.0,1080.0,7268128.0,14624.0,497.0,7323295.000000001,14735.0,497.0,8308333.0,14251.0,583.0,,0.033261750965839276,0.03179887498565015
2022-3-15,8835788.6,13937.6,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8897163.0,15261.0,583.0,13043160.0,12077.0,1080.0,7055412.0,14196.0,497.0,7111573.0,14309.0,497.0,8071634.999999999,13845.0,583.0,,-0.027842568430089143,-0.02852203975799472
2022-2-15,9088845.4,14346.8,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",9128614.0,15658.0,583.0,13382280.0,12391.0,1080.0,7365043.0,14819.0,497.0,7285026.0,14658.0,497.0,8283263.999999999,14208.0,583.0,,-0.0075446236339692385,-0.007526494922383109
