,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2020-12-15,9076391.886679107,13178.8,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8191001.054084559,13135.0,583.0,14697776.282059345,12723.0,1080.0,7245339.33116526,13629.0,497.0,7048111.295956344,13258.0,497.0,8199731.470130024,13149.0,583.0,,-0.01646408731342275,0.018029570349313184
2020-11-15,9228327.88269672,12945.4,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8328059.6665928215,12902.0,583.0,14942147.105684072,12496.0,1080.0,7366443.934798761,13387.0,497.0,7167246.750635234,13025.0,497.0,8337741.955772708,12917.0,583.0,,0.01986135895276986,0.039006693741271636
2020-10-15,9048610.187734436,12459.4,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8165457.3796363985,12417.0,583.0,14651306.269136904,12027.0,1080.0,7222746.713095016,12884.0,497.0,7028219.151045655,12537.0,497.0,8175321.425758211,12432.0,583.0,,-0.008353662009866314,-0.018960331333364944
2020-9-15,9124835.983435523,12700.2,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8234412.595099999,12657.0,583.0,14773270.902100105,12258.0,1080.0,7283171.7580302935,13132.0,497.0,7088502.759624214,12781.0,497.0,8244821.902323005,12673.0,583.0,,0.0150354080972106,0.014879335144638128
2020-8-15,8989672.587423306,12514.0,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8087032.836857913,12448.0,583.0,14648959.263738288,12172.0,1080.0,7152730.65375577,12915.0,497.0,6962212.702157475,12571.0,497.0,8097427.480607089,12464.0,583.0,,-0.005332488322478901,0.009437767201742275
2020-7-15,9037866.907165887,12397.0,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8130124.724581865,12331.0,583.0,14726290.794057263,12057.0,1080.0,7191062.953772574,12794.0,497.0,7000522.830173316,12455.0,497.0,8141333.233244413,12348.0,583.0,,-0.002965407018074906,0.00249066002490661
2020-6-15,9064747.57323664,12366.2,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8154064.073039382,12300.0,583.0,14770034.8484793,12027.0,1080.0,7211764.741262549,12761.0,497.0,7021877.353670337,12425.0,497.0,8165996.849731635,12318.0,583.0,,-0.004691813425092062,0.002301869052829586
2020-5-15,9107478.161543705,12337.8,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8192173.527427024,12271.0,583.0,14838269.17647739,11998.0,1080.0,7246088.780845444,12732.0,497.0,7056001.312042241,12398.0,497.0,8204858.010926424,12290.0,583.0,,0.016677182349125186,0.014388134311178247
2020-4-15,8958082.584778825,12162.8,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8057799.009678501,12097.0,583.0,14595039.216504142,11828.0,1080.0,7126401.872601588,12550.0,497.0,6940717.935363284,12223.0,497.0,8070454.889746609,12116.0,583.0,,-0.016253642778572108,0.010484688367146777
2020-3-15,9106089.71410146,12036.6,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8190648.852382777,11971.0,583.0,14835920.427269222,11705.0,1080.0,7244314.669120653,12420.0,497.0,7055915.825471219,12097.0,497.0,8203648.796263429,11990.0,583.0,,0.023232367511409446,0.05301558973282239
2020-2-15,8899337.045258123,11430.6,"PARK YOHO VENEZIA(Block 7B,Phase 1B,PARK VISTA),18 CASTLE PEAK RD TAM MI|峻巒,1B期,7B座(PARK YOHO VENEZIA),18 青山公路潭尾段",8004549.457646157,11368.0,583.0,14498313.794593593,11115.0,1080.0,7079486.938574675,11794.0,497.0,6896407.108469089,11489.0,497.0,8017927.927007107,11387.0,583.0,,0.026870031648430714,0.013890367216604638
