,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10801333.8,19341.2,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17106645.0,20487.0,835.0,14360684.0,19046.0,754.0,8968258.0,16826.0,533.0,7241850.0,20691.0,350.0,6329232.0,19656.0,322.0,,0.008837822427950837,0.008835894386546972
2020-11-15,10706709.8,19171.8,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",16956345.0,20307.0,835.0,14234766.0,18879.0,754.0,8890440.0,16680.0,533.0,7178150.0,20509.0,350.0,6273848.0,19484.0,322.0,,-0.04508687403110301,-0.04508641729342033
2020-10-15,11212234.4,20077.0,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17757110.0,21266.0,835.0,14906580.0,19770.0,754.0,9310444.0,17468.0,533.0,7516950.0,21477.0,350.0,6570088.0,20404.0,322.0,,0.012164515145869581,0.012159832222547129
2020-9-15,11077482.2,19835.8,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17543350.0,21010.0,835.0,14727882.0,19533.0,754.0,9197981.0,17257.0,533.0,7427000.0,21220.0,350.0,6491198.0,20159.0,322.0,,0.004709075147371067,0.004710578033511048
2020-8-15,11025562.0,19742.8,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17461520.0,20912.0,835.0,14659268.0,19442.0,754.0,9153742.0,17174.0,533.0,7392350.0,21121.0,350.0,6460930.0,20065.0,322.0,,-0.034239234698876575,-0.03423243618717775
2020-7-15,11416452.6,20442.6,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18081090.0,21654.0,835.0,15179528.0,20132.0,754.0,9477273.0,17781.0,533.0,7654500.0,21870.0,350.0,6689872.0,20776.0,322.0,,0.018003883384609676,0.018007071360987892
2020-6-15,11214547.2,20081.0,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17761285.0,21271.0,835.0,14911858.0,19777.0,754.0,9308845.0,17465.0,533.0,7519050.0,21483.0,350.0,6571698.0,20409.0,322.0,,-0.010183212025939636,-0.010183560401427427
2020-5-15,11329922.2,20287.6,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17944150.0,21490.0,835.0,15065674.0,19981.0,754.0,9403719.0,17643.0,533.0,7596750.0,21705.0,350.0,6639318.0,20619.0,322.0,,0.013941695607457838,0.013944004078246364
2020-4-15,11174135.8,20008.6,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17697825.0,21195.0,835.0,14859078.0,19707.0,754.0,9273134.0,17398.0,533.0,7492450.0,21407.0,350.0,6548192.0,20336.0,322.0,,-0.030121470992217958,-0.030121182743577335
2020-3-15,11521170.4,20630.0,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18247255.0,21853.0,835.0,15321280.0,20320.0,754.0,9560421.0,17937.0,533.0,7725200.0,22072.0,350.0,6751696.0,20968.0,322.0,,0.021119100201845598,0.02112536627860928
2020-2-15,11282886.0,20203.2,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17870670.0,21402.0,835.0,15004600.0,19900.0,754.0,9361612.0,17564.0,533.0,7565600.0,21616.0,350.0,6611948.0,20534.0,322.0,,0.00033717280030653995,0.000336693668178345
2020-1-15,11279083.0,20196.4,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17864825.0,21395.0,835.0,15000076.0,19894.0,754.0,9357348.0,17556.0,533.0,7563150.0,21609.0,350.0,6610016.0,20528.0,322.0,,-0.02172897510770877,-0.021729232259626974
2019-12-15,11529609.6,20645.0,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18261450.0,21870.0,835.0,15334098.0,20337.0,754.0,9564152.0,17944.0,533.0,7731500.0,22090.0,350.0,6756848.0,20984.0,322.0,,-0.0005587871723020665,-0.0005518870664782405
2019-11-15,11536055.8,20656.4,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18272305.0,21883.0,835.0,15343146.0,20349.0,754.0,9568416.0,17952.0,533.0,7735700.0,22102.0,350.0,6760712.0,20996.0,322.0,,0.03510423833296206,0.035107587768969495
2019-10-15,11144825.2,19955.8,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17652735.0,21141.0,835.0,14823640.0,19660.0,754.0,9242753.0,17341.0,533.0,7473550.0,21353.0,350.0,6531448.0,20284.0,322.0,,-0.02477408443270024,-0.02477666790468558
2019-9-15,11427942.0,20462.8,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18101130.0,21678.0,835.0,15200640.0,20160.0,754.0,9476740.0,17780.0,533.0,7663600.0,21896.0,350.0,6697600.0,20800.0,322.0,,0.01182662034434534,0.01182776558080656
2019-8-15,11294367.8,20223.6,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",17889875.0,21425.0,835.0,15023450.0,19925.0,754.0,9364810.0,17570.0,533.0,7574350.0,21641.0,350.0,6619354.0,20557.0,322.0,,-0.04912254481611267,-0.04911558100826596
2019-7-15,11877837.4,21268.2,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18814220.0,22532.0,835.0,15800824.0,20956.0,754.0,9847175.0,18475.0,533.0,7965650.0,22759.0,350.0,6961318.0,21619.0,322.0,,0.017099511028582093,0.017101374422541893
2019-6-15,11678146.8,20910.6,"THE PAVILIA FARM I(Block 2A,THE PAVILIA FARM),CHE KUNG MIU RD|柏傲莊,2A座(柏傲莊 I),車公廟路",18498590.0,22154.0,835.0,15535416.0,20604.0,754.0,9680346.0,18162.0,533.0,7831950.0,22377.0,350.0,6844432.0,21256.0,322.0,,-0.007994168526505474,-0.007988993785283949
