,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8759700.0,9733.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",8759700.0,9733.0,900.0,,0.009437875959344533,0.009437875959344533
2022-11-15,8677800.0,9642.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",8677800.0,9642.0,900.0,,-0.0647914645974782,-0.0647914645974782
2022-10-15,9279000.0,10310.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",9279000.0,10310.0,900.0,,0.012770137524557912,0.012770137524557912
2022-9-15,9162000.0,10180.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",9162000.0,10180.0,900.0,,-0.03726120673349731,-0.03726120673349731
2022-8-15,9516600.0,10574.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",9516600.0,10574.0,900.0,,-0.053611384587845645,-0.053611384587845645
2022-7-15,10055700.0,11173.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10055700.0,11173.0,900.0,,0.058349910012314155,0.058349910012314155
2022-6-15,9501300.0,10557.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",9501300.0,10557.0,900.0,,-0.08016032064128253,-0.08016032064128253
2022-5-15,10329300.0,11477.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10329300.0,11477.0,900.0,,0.016563330380868102,0.016563330380868102
2022-4-15,10161000.0,11290.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10161000.0,11290.0,900.0,,0.0020413597230850566,0.0020413597230850566
2022-3-15,10140300.0,11267.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10140300.0,11267.0,900.0,,-0.004330151997172127,-0.004330151997172127
2022-2-15,10184400.0,11316.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10184400.0,11316.0,900.0,,-0.04441817260597869,-0.04441817260597869
2022-1-15,10657800.0,11842.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10657800.0,11842.0,900.0,,0.029739130434782712,0.029739130434782712
2021-12-15,10350000.0,11500.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10350000.0,11500.0,900.0,,0.0014804493599234192,0.0014804493599234192
2021-11-15,10334700.0,11483.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10334700.0,11483.0,900.0,,-0.010000862143288214,-0.010000862143288214
2021-10-15,10439100.0,11599.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10439100.0,11599.0,900.0,,-0.025048331512145916,-0.025048331512145916
2021-9-15,10707300.0,11897.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10707300.0,11897.0,900.0,,0.02445535176095759,0.02445535176095759
2021-8-15,10451700.0,11613.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10451700.0,11613.0,900.0,,-0.014260249554367221,-0.014260249554367221
2021-7-15,10602900.0,11781.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10602900.0,11781.0,900.0,,0.0012748597654257399,0.0012748597654257399
2021-6-15,10589400.0,11766.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10589400.0,11766.0,900.0,,-0.0031347962382445305,-0.0031347962382445305
2021-5-15,10622700.0,11803.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10622700.0,11803.0,900.0,,0.017763214624471946,0.017763214624471946
2021-4-15,10437300.0,11597.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10437300.0,11597.0,900.0,,0.013635171750721042,0.013635171750721042
2021-3-15,10296900.0,11441.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10296900.0,11441.0,900.0,,-0.014216784421850814,-0.014216784421850814
2021-2-15,10445400.0,11606.0,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",10445400.0,11606.0,900.0,,,
2021-1-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-12-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-11-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-10-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-9-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-8-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-7-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-6-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-5-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-4-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-3-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-2-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2020-1-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-12-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-11-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-10-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-9-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
2019-8-15,,,"WOODCREST HILLS(Block 12),TAI PO RD SHATIN HEIGHTS|桂園12座,大埔公路沙田嶺段",,,900.0,,,
