,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,5968040.0,11477.0,1,5968040.0,11477.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5968040.0,11477.0,520.0,-0.0009575208913649158,-0.0009575208913649158
2019-11-15,5973760.0,11488.0,1,5973760.0,11488.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5973760.0,11488.0,520.0,0.03467531297847426,0.03467531297847426
2019-10-15,5773560.0,11103.0,1,5773560.0,11103.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5773560.0,11103.0,520.0,-0.039366672434677286,-0.039366672434677286
2019-9-15,6010160.0,11558.0,1,6010160.0,11558.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",6010160.0,11558.0,520.0,0.027560455192034095,0.027560455192034095
2019-8-15,5848960.0,11248.0,1,5848960.0,11248.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5848960.0,11248.0,520.0,-0.04911657790176682,-0.04911657790176682
2019-7-15,6151080.0,11829.0,1,6151080.0,11829.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",6151080.0,11829.0,520.0,0.01693603851444281,0.01693603851444281
2019-6-15,6048640.0,11632.0,1,6048640.0,11632.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",6048640.0,11632.0,520.0,-0.011556764106050332,-0.011556764106050332
2019-5-15,6119360.0,11768.0,1,6119360.0,11768.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",6119360.0,11768.0,520.0,0.03137598597721292,0.03137598597721292
2019-4-15,5933200.0,11410.0,1,5933200.0,11410.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5933200.0,11410.0,520.0,0.02442090141856701,0.02442090141856701
2019-3-15,5791760.0,11138.0,1,5791760.0,11138.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5791760.0,11138.0,520.0,0.050259311645450166,0.050259311645450166
2019-2-15,5514600.0,10605.0,1,5514600.0,10605.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5514600.0,10605.0,520.0,0.0163887291546867,0.0163887291546867
2019-1-15,5425680.0,10434.0,1,5425680.0,10434.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5425680.0,10434.0,520.0,0.036455746498460506,0.036455746498460284
2018-12-15,5234839.999999999,10067.0,1,5234839.999999999,10067.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5234839.999999999,10067.0,520.0,-0.050820290401659585,-0.050820290401659474
2018-11-15,5515120.0,10606.0,1,5515120.0,10606.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5515120.0,10606.0,520.0,-0.05539722123263269,-0.05539722123263269
2018-10-15,5838560.0,11228.0,1,5838560.0,11228.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",5838560.0,11228.0,520.0,-0.047909776986347796,-0.047909776986347796
2018-9-15,6132360.0,11793.0,1,6132360.0,11793.0,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",6132360.0,11793.0,520.0,,
2018-8-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-7-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-6-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-5-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-4-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-3-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-2-15,,,1,,,520,"YEE SHUEN MANS,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
