,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,5960240.0,11462.0,1,5960240.0,11462.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5960240.0,11462.0,520.0,-0.0009587727708533222,-0.0009587727708533222
2019-11-15,5965960.0,11473.0,1,5965960.0,11473.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5965960.0,11473.0,520.0,0.034628911533952644,0.034628911533952644
2019-10-15,5766280.0,11089.0,1,5766280.0,11089.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5766280.0,11089.0,520.0,-0.03933119639608418,-0.03933119639608418
2019-9-15,6002360.0,11543.0,1,6002360.0,11543.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",6002360.0,11543.0,520.0,0.02750578600676512,0.02750578600676512
2019-8-15,5841680.0,11234.0,1,5841680.0,11234.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5841680.0,11234.0,520.0,-0.0490942949043508,-0.0490942949043508
2019-7-15,6143280.0,11814.0,1,6143280.0,11814.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",6143280.0,11814.0,520.0,0.01687037355827159,0.01687037355827159
2019-6-15,6041360.0,11618.0,1,6041360.0,11618.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",6041360.0,11618.0,520.0,-0.011486428996851816,-0.011486428996851816
2019-5-15,6111560.0,11753.0,1,6111560.0,11753.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",6111560.0,11753.0,520.0,0.03141728828433532,0.03141728828433532
2019-4-15,5925400.0,11395.0,1,5925400.0,11395.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5925400.0,11395.0,520.0,0.024361740381157793,0.024361740381157793
2019-3-15,5784480.0,11124.0,1,5784480.0,11124.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5784480.0,11124.0,520.0,0.05022658610271913,0.05022658610271913
2019-2-15,5507840.0,10592.0,1,5507840.0,10592.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5507840.0,10592.0,520.0,0.016409173783705988,0.016409173783705988
2019-1-15,5418920.0,10421.0,1,5418920.0,10421.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5418920.0,10421.0,520.0,0.03650288442410976,0.03650288442410976
2018-12-15,5228080.0,10054.0,1,5228080.0,10054.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5228080.0,10054.0,520.0,-0.05088265835929384,-0.05088265835929384
2018-11-15,5508360.0,10593.0,1,5508360.0,10593.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5508360.0,10593.0,520.0,-0.0553772070626003,-0.0553772070626003
2018-10-15,5831280.0,11214.0,1,5831280.0,11214.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",5831280.0,11214.0,520.0,-0.04788588894549162,-0.04788588894549162
2018-9-15,6124560.0,11778.0,1,6124560.0,11778.0,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",6124560.0,11778.0,520.0,,
2018-8-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-7-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-6-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-5-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-4-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-3-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-2-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2018-1-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-12-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-11-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-10-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-9-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-8-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-7-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-6-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-5-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
2017-4-15,,,1,,,520,"YEE SHUEN MANSION,TAI WAI RD|頤萱樓,大圍道",,,520.0,,
