,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,24610764.877155453,22322.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23963631.330596358,21785.0,1575.0,,,3157.0,25257898.423714545,22860.0,1582.0,,-0.33779453028420725,-0.06484991935652795
2020-11-15,37164846.86802417,23870.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",36186476.92905679,23295.0,1575.0,,,3157.0,38143216.80699154,24446.0,1582.0,,0.5102894093805013,0.5312890913173172
2020-10-15,24607765.0,15588.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23958900.0,15212.0,1575.0,,,3157.0,25256630.0,15965.0,1582.0,,-0.41149468054537675,3.207595586340872e-05
2020-9-15,41814006.070164986,15588.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",40710068.23064374,15211.0,1575.0,,,3157.0,42917943.90968623,15965.0,1582.0,,0.35857865392442956,3.207698476348497e-05
2020-8-15,30777758.762350522,15587.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",29964179.520323075,15210.0,1575.0,,,3157.0,31591338.004377965,15965.0,1582.0,,0.25093395085050685,9.624021557819162e-05
2020-7-15,24603824.0,15586.0,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",23952600.0,15208.0,1575.0,,,3157.0,25255048.0,15964.0,1582.0,,-0.18336475913068218,-0.3039012081016502
2020-6-15,30128290.78231909,22390.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",29330205.715887263,21847.0,1575.0,,,3157.0,30926375.848750923,22934.0,1582.0,,-0.12866830057092027,0.07267588090162169
2020-5-15,34577292.209224075,20873.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",33659991.60332534,20366.0,1575.0,,,3157.0,35494592.815122806,21381.0,1582.0,,0.04357945546117503,-0.1651100933943963
2020-4-15,33133358.488687187,25001.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",32253521.982332475,24393.0,1575.0,,,3157.0,34013194.9950419,25610.0,1582.0,,-0.07973944775711095,0.11105432729696707
2020-3-15,36004323.349439986,22502.5,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",35046935.008923136,21954.0,1575.0,,,3157.0,36961711.68995684,23051.0,1582.0,,-1.0,0.5716963121624139
2020-2-15,inf,14317.333333333334,"THE REDHILL PENINSULA(Phase 4),Block 7,PAK PAT SHAN RD|紅山半島4期,7座,白筆山道",inf,15203.0,1575.0,inf,11786.0,3157.0,inf,15963.0,1582.0,,,
